Title,Author,Price
The Years,"Woolf, Virginia","US$ 1,750.00"
Poems,"RYLANDS, George",US$ 193.95
The Amberley Papers. The Letter and Diaries of Lord and Lady Amberley (2 Volume set),"RUSSELL, BERTRAND & RUSSELL, PATRICIA",US$ 129.30
Democracy Under Revision,"Wells, H G",US$ 122.83
The Common Sense of World Peace,"Wells, H G",US$ 96.97
Roger Fry: A Biography,Virginia Woolf,US$ 75.00
The Armed Muse: Poems,Herbert E. Palmer,US$ 25.86
The New Realism: A Discussion: Hogarth Sixpenny Pamphlets Number Two,"Spender, Stephen",US$ 12.93
Nature in Literature: Hogarth Lectures No. 9.,"Blunden, Edmund",US$ 51.72
Night and Day,"WOOLF, Virginia",US$ 350.00
Flush: A Biography,"WOOLF, Virginia",US$ 150.00
Night and Day (Uniform Edition),"Woolf, Virginia",US$ 193.95
An Autobiographical Study,"Freud, S.",US$ 10.95
"The Common Reader, Second Series",Virginia Woolf,US$ 40.50
A General Selection From The Works Of Sigmund Freud,"Rickman, J. (ed)",US$ 10.34
The Common Reader: Second Series,"WOOLF, Virginia",US$ 300.00
Some Early Impressions,"Stephen, L.",US$ 10.62
A Letter to Madan Blanchard,"Forster, E.M.",US$ 25.00
Revolution in Writing,"DAY LEWIS, C.",US$ 45.00
The Political and Social Doctrine of Communism,"DUTT, R. Palme",US$ 45.00
Revolution in Writing,"DAY LEWIS, C.",US$ 30.00
The Whirligig of Taste,"KELLETT, E.E.",US$ 30.00
Poetry in France and England,"STEWART, Jean",US$ 30.00
The common reader,"WOOLF, Virginia",US$ 581.85
Between the Acts,"Woolf, Virginia",US$ 25.86
THE WRITINGS OF E. M. FORSTER [First edition in pre-war dustwrapper],Rose Macaulay,US$ 84.04
Selected Poems : The New Hogarth Library Volume II.,"Lewis, C. Day",US$ 19.39
Adventure and Other papers,Fridtjof Nansen,US$ 19.39
Noise of History,"Lehmann, John",US$ 75.00
Three guineas,"Woolf, Virginia (1882-1941)",US$ 27.72
Between the Acts. By Virginia Woolf. LONDON : 1941.,"WOOLF, Virginia (1882-1941)",US$ 93.10
Jacob's Room,"Woolf, Virginia","US$ 5,000.00"
Sally Bowles,"Isherwood, Christopher","US$ 4,800.00"
Aftermath,R. C. Trevelyan,US$ 34.91
"Flush, a biography","Woolf, Virginia",US$ 646.50
Folios of New Writing. Autumn 1940,"Woolf, Virginia, C. Day Lewis, George Orwell, Stephen Spender and 13 others",US$ 275.00
New Introductory Lectures on Psycho-Analysis,"Freud, S. Sprott, W. J. H. (Trans.)",US$ 10.87
MR. BENNETT AND MRS. BROWNS: The Hogarth Essays 1,"WOOLF, VIRGINIA",US$ 175.00
A Sampler of Castile,Roger Fry,US$ 420.22
Three Guineas,Virginia Woolf,US$ 581.85
Pharos and Pharillon,"Forster, E. M.",US$ 161.62
A Room of One's Own,"Woolf, Virginia",US$ 58.18
The Backward Son,Stephen Spender,US$ 58.18
Superstition and Society,"Money-Kyrle, R.",US$ 12.93
A Room of One's Own,"Woolf, Virginia","US$ 9,000.00"
The Satyricon of Petronius Arbiter in the Translation Attributed to Oscar Wilde,"Arbiter, Petronius and Oscar Wilde",US$ 9.52
The Dark Island,"SACKVILLE-WEST, V.",US$ 109.90
The Legend of Monte Della Sibilla. or Le Paradis de la Reine Sibille,"BELL, Clive",US$ 646.50
Walter Sickert: A Conversation,"Woolf, Virginia",US$ 75.00
Ladies And Gentlemen In Victiorian Fiction,"Delafield, E.M.",US$ 10.81
FLUSH : A Biography,"Woolf, Virginia",US$ 62.06
THE VOYAGE OUT ( Uniform Edition ),"Woolf, Virginia",US$ 51.72
NIGHT AND DAY ( Uniform Edition ),"Woolf, Virginia",US$ 77.58
FLUSH : A Biography ( Uniform Edition ),"Woolf, Virginia",US$ 19.39
THE COMMON READER ( Uniform Edition ),"Woolf, Virginia",US$ 32.32
MR. NORRIS CHANGES TRAINS,Isherwood Christopher,US$ 203.50
ALL PASSION SPENT,Sackville-West V.,US$ 137.50
Solitude : a poem / V. Sackville-West,"Sackville-West, Victoria (1892-1962)",US$ 74.80
Different Days. Poems.,FRANCES CORNFORD.,US$ 58.18
Monday or Tuesday,"Woolf, Virginia","US$ 3,000.00"
Books and the Public,The Editor of the Nation | John Maynard Keynes | Stanley Unwin | Michael Sadleir | Jeffrey E. Jeffrey | Basil Blackwood | Leonard Woolf | Peter Ibbetson | Henry E. Saxton | Charles Yound,US$ 325.00
JOURNEY TO THE BORDER,"Upward, Edward",US$ 64.65
Sally Bowles,"Isherwood, Christopher","US$ 5,000.00"
Between the Acts,Virginia Woolf,US$ 181.02
The Waves,Virginia Woolf,"US$ 3,749.67"
"Psycho-Analytical Epitomes: Civilization, War and Death: Selections from Three Works by Sigmund Freud (Volume 4)","Rickman, J. (ed)",US$ 28.02
Orlando,Virginia Woolf,US$ 150.00
Cavender's House,"ROBINSON, Edwin Arlington",US$ 100.00
The Structure of the Novel,Edwin Muir,US$ 5.34
"The Common Read(Hardback,1933)",Virginia Woolf,US$ 12.93
The Legend of Monte della Sibilla or Le Paradis de la Reine Sibille [H. Balfour Gardiner's copy],"BELL, Clive (1881-1964)",US$ 485.00
The Writings of E.M. Forster,Rose MacAulay,US$ 22.78
Death of My Aunt,"Kitchin, C.H.B.",US$ 290.92
The Judgement of Francois Villon,Herbert Edward Palmer,US$ 25.16
O Providence. By John Hampson [Pseudonym of John Hampson Simpson],"Hampson, John",US$ 250.00
A Letter on the French Pictures,"MORTIMER, Raymond",US$ 15.52
A Letter to Mrs. Virginia Woolf,"QUENNELL, Peter",US$ 15.52
A Letter to a Sister,"LEHMANN, Rosamond",US$ 15.52
A Letter to Madan Blanchard,"FORSTER, E M",US$ 15.52
English Village Schools,"Wise, M.",US$ 11.72
All Passion Spent.,"Sackville-West, V.",US$ 38.79
Rimeless Numbers [SIGNED],"Trevelyan, Robert Calverly",US$ 600.00
"""The Hogarth Essays"" (First Series. 9 of 19 Issues in a custom made clamshell box)","Woolf, Leonard and 8 others (see notes below)",US$ 950.00
The Edwardians.,"WHISTLER, Rex (bookplate design). SACKVILLE-WEST, V.",US$ 109.90
The French Pictures - A Letter to Harriet.,"MORTIMER, Raymond.",US$ 45.25
Selected Poems,"SACKVILLE-WEST, V.",US$ 85.00
BETWEEN THE ACTS. RARE Hogarth Press and Macmillan edition printed on dustjacket,"Woolf, Virginia",US$ 750.00
The Gentleman from San Francisco and Other Stories,"BUNIN, I.A.",US$ 400.00
The Years.,Virginia Woolf.,US$ 45.25
THE EDWARDIANS.,"SACKVILLE WEST, V.",US$ 96.97
A GENERAL SELECTION FROM THE WORKS OF SIGMUND FREUD.,"FREUD, Sigmund, John Rickman (Edits).",US$ 45.25
Collected Poems. Volume one [all published].,"SACKVILLE-WEST, Vita.","US$ 1,292.99"
Some Religious Elements in English Literature,Rose Macaulay,US$ 25.00
The Common Reader: Second Series,Woolf Virginia,US$ 23.27
Goodbye to Berlin,Christopher Isherwood,"US$ 2,350.00"
The Other Side of the Medal,"THOMPSON, Edward",US$ 950.00
Occupied Territory,"Ritchie, Alice",US$ 64.65
Allegra,Iris Origo,US$ 133.54
Politics and Literature,"Cole, G. D. H.",US$ 15.52
To the Lighthouse (in fine binding),Virginia Woolf,"US$ 2,600.00"
The Writings of E.M.Forster,"Macailay, Rose",US$ 7.76
Solitude : a poem / V. Sackville-West,"Sackville-West, Victoria (1892-1962)",US$ 72.07
O PROVIDENCE. Signed,"Hampson, John",US$ 400.00
STORIES FROM THE OLD TESTAMENT RETOLD. Signed,"Smith, Logan Pearsall",US$ 850.00
A ROOM OF ONE'S OWN,"Woolf, Virginia","US$ 7,475.00"
Cheerful Weather for the Wedding [First edition],"Strachey, Julia",US$ 118.61
JACOB'S ROOM >>Signed by Siegried Sassoon to Gabriel Atkin<<,"WOOLF, Virginia","US$ 7,434.70"
The Golden Ass Of Lucius Apuleius,"Adlington, William (Translator); Darton, F. J. Harvey (Editor)",US$ 9.99
Mockbeggar Hall,"GRAVES, Robert",US$ 500.00
The common reader,"WOOLF, Virginia",US$ 71.11
Roger Fry : A Biography by Virginia Woolf (first printing in rare DJ),"Woolf, Virginia","US$ 1,395.00"
Roger Fry : A Biography by Virginia Woolf (first printing),"Woolf, Virginia",US$ 335.00
Poems for Spain,"Spender, Stephen & Lehmann, John (edited by)",US$ 96.97
Mr. Bennett and Mrs. Brown [Argyll House],"WOOLF, Virginia (1882-1941); [Sibyl Lady Colefax]",US$ 865.00
PEPITA,"SACKVILLE WEST, V.",US$ 32.32
ART AND COMMERCE,"Fry, Roger",US$ 150.00
HUNTING THE HIGHBROW. THE HOGARTH ESSAYS. NO 5,"Woolf, Leonard",US$ 750.00
Flush A biography,Virginia Woolf,US$ 260.57
The Years.,"WOOLF, Virginia.",US$ 109.90
"Original Letters From India, 1779-1815",Eliza Fay; E. M. Forster [ed.],US$ 109.90
Charles Lamb: His Life Recorded by his Contemporaries,"Blunden, E. (ed)",US$ 11.45
Roger Fry : A Biography by Virginia Woolf (signed first printing & the last book published in Virginia Woolf's lifetime; 8 months before her death),"Woolf, Virginia","US$ 7,795.00"
Flush - a biography.,"WOOLF, Virginia.",US$ 581.85
Walter Sickert - A Conversation.,"WOOLF, Virginia.",US$ 84.04
"Democracy under Revision - A Lecture Delivered at the Sorbonne on March 15th, 1927.","WELLS, H.G.",US$ 226.27
The New Realism - A Discussion.,"SPENDER, Stephen.",US$ 45.25
A Letter to W.B. Yeats.,"STRONG, L.A.G.",US$ 32.32
Twelve Days - An account of a journey across the Bakhtiari Mountains in South-western Persia.,"SACKVILLE-WEST, V.",US$ 226.27
Lions and Shadows - An Education in the Twenties.,"ISHERWOOD, Christopher.",US$ 711.15
The Hotel,"Woolf, L.",US$ 10.62
Later Poems (UK HB 1st - 1938),"Rilke, Rainer Maria",US$ 32.32
A General Selection From the Works of Sigmund Freud,"Rickman, J. (Ed.)",US$ 10.48
Goodbye To Berlin,"Isherwood, Christopher","US$ 2,521.33"
ANONYMITY. AN ENQUIRY.,E. M. Forster.,US$ 35.00
Another Future of Poetry,Robert Graves,US$ 50.00
Paul Valery,"Bosanquet, T.",US$ 9.35
The New Realism A Discussion (Hogarth Sixpenny Pamphlets Number Two),SPENDER Stephen,US$ 15.52
Proust,"BELL, Clive",US$ 58.18
Orlando - A Biography,"Woolf, Virginia","US$ 3,400.00"
Antiquarian Prejudice,"Betjeman, John",US$ 12.93
Superstition and Society (Psycho-analytical Epitomes No. 3),"Money-Kyrle, Roger",US$ 12.93
A Last Chance in Kenya.,Norman Leys.,US$ 49.13
"The Autobiography of Countess Sophie Tolstoi. With Preface and Notes by Vasilii Spiridonov (1st edition!),","Koteliansky, S. S. and Leonard Woolf (transl.):",US$ 310.46
First poems,"MUIR, Edwin",US$ 275.00
Pepita,V. Sackville-West,US$ 6.46
Noah and the Waters,Day Lewis C,US$ 18.62
Requiem and Other Poems,"RILKE, Rainer Maria",US$ 250.00
New Writing New Series III,"Lehmann, John (Editor)",US$ 64.65
BETWEEN THE ACTS.,"WOOLF, Virginia.",US$ 74.55
The Defeat of Baudelaire - A Psycho-Analytical Study of the Neurosis of Charles Baudelaire.,"Laforgue, RenÃ .",US$ 25.86
"Twelve Original Woodcuts (1st edition - handprinted by Virginia and Leonard Woolf !),","Fry, Roger:","US$ 7,983.29"
AFTER THE DELUGE - A STUDY OF COMMUNAL PSYCHOLOGY Vol. 1,Leonard Woolf,US$ 30.00
A Room of One's Own,"Woolf, Virginia","US$ 9,975.00"
Twelve Original Woodcuts,"Fry, Roger","US$ 8,404.44"
The Judgement of Francois Villon,Herbert Edward Palmer,US$ 96.97
The Nice Old Man and the Pretty Girl,"Svevo, Italo ( Translated by L. Collison-Morley )",US$ 277.20
The Common Reader: Second Series,"WOOLF, VIRGINIA",US$ 100.00
AFTER THE DELUGE - A STUDY OF COMMUNAL PSYCHOLOGY - Vol. 1 [First edition in partial scarce dustwrapper] Comes with period ephemera - an original brochure for the Schick Dry Shaver - the world's first electric razor],Leonard Woolf,US$ 161.62
Between The Acts,Virginia Woolf,US$ 96.97
The Common Reader Second Series,Virginia Woolf,US$ 65.00
Collected Papers Vol. III Case Histories / The International Psycho-Analytical Library #9,"Freud, Sigm. (Freud, Sigmund trans by Strachey)",US$ 35.00
Mr Norris Changes Trains,Christopher Isherwood,US$ 19.39
A Room of One's Own,"WOOLF, Virginia",US$ 275.00
Aftermath,R. C. Trevelyan,US$ 8.86
As You Were,Wilfred Benson,US$ 35.25
The End of Laissez-Faire,John Maynard Keynes,"US$ 3,500.00"
REVOLUTION IN WRITING Day to Day Pamphlets No. 29,"Lewis, C. Day",US$ 17.50
THE COMMON READER. SECOND SERIES,"Woolf, Virginia","US$ 14,750.00"
Family History,"Sackville-West, Vita",US$ 25.00
SOME EARLY IMPRESSIONS,Leslie Stephen [Augustine Birrell],US$ 750.00
The Edwardians,"SACKVILLE-WEST, Vita","US$ 1,292.99"
"Selected Poems ( The New Hogarth Library, Volume IV)","Sackville-West, Vita",US$ 40.00
The Authorship of Wuthering Heights,"Willis, Irene Cooper",US$ 71.11
Flush,"Woolf, Virginia",US$ 446.08
THE STORY OF THE SIREN,"FORSTER, E. M.","US$ 4,848.72"
The Years,"Woolf, Virginia",US$ 22.95
The Fivefold Screen. Poems.,WILLIAM PLOMER.,US$ 38.79
Senlin: a Biography,"AIKEN, Conrad",US$ 247.50
Roger Fry (UK HB 1st - 1940),"Woolf, Virginia",US$ 103.44
"SELECTED PAPERS OF KARL ABRAHAM, M.D.","Jones, Ernest (ed.)",US$ 20.00
L.E.L.: A Mystery of the Thirties,"ENFIELD, D.E.",US$ 250.00
"Poets of Tomorrow, Second Selection: Cambridge poetry 1940","Bateman, John And Others",US$ 22.95
The Common Reader. Signed Association Copy. Second Edition,Woolf Virginia,"US$ 9,489.66"
Education - Today - and Tomorrow.,"AUDEN, W.H., and WORSLEY, T.C.",US$ 96.97
The New Boer War,"Barnes, L.",US$ 8.37
Flush: a Biography,"Woolf, Virginia",US$ 29.74
"Daylight: European Arts and Letters, Yesterday, Today, Tomorrow (Volume 1)",Various,US$ 18.92
The French Pictures (A Letter To Harriet),"Mortimer,Raymond",US$ 12.93
"Cambridge Poetry, 1930. Hogarth Living Poets. No. 13. Edited by John Davenport, Hugh Sykes & Michael Redgrave.","BELL, Julian (contrib.)",US$ 387.90
Flush: A Biography,Virginia Woolf,US$ 942.47
The end of laissez-faire,Keynes John Maynard,US$ 443.52
Jacob's Room,Virginia Woolf.,US$ 342.64
History as Direction,"Hoyland, John S,",US$ 25.86
Between The Acts,"Woolf, Virginia",US$ 35.00
A Letter to a Young Poet.,"Woolf, Virginia.",US$ 100.00
"Collected Poems 1929-1933. Trasitional Poem, From Feather To Iron, The Magnetic Mountain","Lewis, C Day",US$ 32.32
THE YEARS,"Woolf, Virginia","US$ 16,500.00"
"The Dark Island (Hardback,1st Edition,1934)",V.Sackville-West,US$ 32.32
Sally Bowles,Christopher Isherwood,US$ 258.60
Three Guineas,"WOOLF, Virginia",US$ 250.00
The Years,"WOOLF, Virginia","US$ 1,000.00"
The Years,"Woolf, Virginia",US$ 950.00
PHAROS AND PHARILLON.,"Forster, E.M.",US$ 11.37
Selected Papers of Karl Abraham,"ABRAHAM, Karl",US$ 350.00
TOLSTOI'S LOVE LETTERS: With a Study on the Autobiographical Elements in Tolstoi's Work,"Tolstoi, Leo; Paul Biryukov; S.S. Koteliansky; Virginia Woolf",US$ 589.95
Between the Acts. IN FULL MOROCCO,WOOLF Virginia,US$ 982.67
First Poems.,"MUIR, Edwin",US$ 205.70
Anonymity - An Enquiry,E. M. Forster,US$ 38.00
Aftermath,R. C. Trevelyan,US$ 30.00
Solitude a Poem,Vita Sackville-West,US$ 840.44
Goodbye to Berlin.,"Isherwood, Christopher.",US$ 166.32
Between the Acts,Virginia Woolf,US$ 840.44
Mr. Norris Changes Trains,"Isherwood, Christopher",US$ 17.96
Mr. Norris Changes Trains,"Isherwood, Christopher",US$ 17.96
Family History,"Sackville-West,Vita",US$ 258.60
The Common Reader,Virginia Woolf,US$ 61.03
The Dark Island. A Novel.,V.Sackville-West,US$ 13.04
Charles Lamb His Life Recorded By His Contemporaries,Edmund Blunden,US$ 14.12
Contemporary Techniques Of Poetry. A Political Analogy.,Robert Graves,US$ 42.09
The Common Sense of World Peace,Wells. H G,US$ 18.06
Index Psycho-Analyticus 1893-1926.,"Rickman, John.",US$ 25.86
Ritual Psycho-Anaytic Studies.,"Reik, Theador.",US$ 25.86
Further Contributions to the Theory and Technique of Psycho-Analysis.,"Ferenczi, Sandor.",US$ 25.86
Clinical Aspects of Psycho-Analysis.,"Laforgue, R.",US$ 12.93
Selected Papers on Psycho-Analysis. First edition. IP-AL no 13.,"Abraham, Karl.",US$ 25.86
Psycho-Analysis of the Neuroses.,"Deutsch, Helene.",US$ 19.39
The Waves. IN FULL MOROCCO,WOOLF Virginia,"US$ 1,189.55"
Pack My Bag - A Self-Portrait.,"GREEN, Henry.","US$ 1,616.24"
Stavrogin's Confession and the Plan of The Life of a Great Sinner,"Dostoevsky, F.M.",US$ 323.25
Folios of New Writing Autumn 1941,LEHMANN John,US$ 45.25
Between the Acts,"WOOLF, Virginia",US$ 100.00
"Mock Beggar Hall. With a Cover Design by William Nicholson,","Graves, Robert:",US$ 94.25
"Moses and Monotheism. London, 1939","Freud, Sigmund",US$ 166.32
"An Autobiographical Study.Published at the 'Hogarth Press' by Leonard and Virginia Woolf and the Institute of Psychoanalyses. London, 1935","Freud, Sigmund",US$ 49.90
"The Amberley Papers. London, 1937","Russell, Bertrand (editor)",US$ 199.58
Pepita,V. Sackville-West,US$ 15.52
Catchwords & Claptrap. Hogarth Essay 2nd series No 4.,Rose Macaulay,US$ 58.18
The Years,"woolf, Virginia",US$ 25.00
Lyrical Poetry from Blake to Hardy.,"Grierson, H.J.C.",US$ 50.00
WORK FOR THE WINTER AND OTHER POEMS,"Bell, Julian",US$ 300.00
"THE DEFEAT OF AUDELAIRE, A Psycho-Analytical Study of the Neurosis of Charles Baudelaire","LaForgue, Rene",US$ 86.25
A General Selection from the Works of Sigmund Freud (Psycho-Analytical Epitomes. no. 1.),John Rickman,US$ 9.38
The German Army.,"ROSINSKI, Herbert.",US$ 969.74
The dark island,"Sackville-West, V.",US$ 79.00
Mr Norris Changes Trains,"ISHERWOOD, Christopher","US$ 3,388.77"
Revolution in Writing,"Lewis, C. Day",US$ 32.50
Adventure and other Papers,Nansen Fridtjof,US$ 25.86
"The Future of an Illusion. The International Psycho-Analytical Library no.15. First edtion, First issue.","Freud, Sigmund.",US$ 51.72
Adventure and Other Papers,Fridtjof Nansen,US$ 18.23
JACOB'S ROOM,"Woolf, Virginia","US$ 1,300.00"
The Years,VIRGINIA WOOLF,US$ 70.00
Noah and the Waters,"[The Hogarth Press]. LEWIS, C. Day",US$ 27.11
A Time to Dance,"[The Hogarth Press]. LEWIS, C. Day",US$ 20.33
DUNCAN GRANT WITH AN INTRODUCTION BY ROGER FRY. LIVING PAINTERS.,"GRANT, Duncan, Roger Fry (Introduction)",US$ 323.25
Mr Roosevelt's Experiments,"Bailey, S.H.",US$ 6.53
Structure of the Novel,"Muir, Edwin:",US$ 24.24
The Meaning of Sacrifice. International Psycho-Analyticalal Library no 16.,"Money-Kyrle, R.",US$ 38.79
The Riddle of the Sphinx. The International Psycho-Analytical Library No. 25.,"Roheim, Geza.",US$ 25.86
A Time to Dance and Other Poems,"Lewis, C. Day",US$ 100.00
Folios of New Writing.,"HOGARTH PRESS. Lehmann, John (edits).",US$ 32.32
Dream Analysis: A Practical Handbook for Psycho-Analysts,"SHARPE, Ella Freeman",US$ 40.00
The Machinery of Socialist Planning,"Cole, G.D.H.",US$ 20.00
The Edwardians.,"SACKVILLE-WEST, Vita.","US$ 1,616.24"
Selected Poems.,V.SACKVILLE-WEST.,US$ 45.25
Between the Acts,Virginia Woolf,US$ 50.00
The Mark on the Wall,Virginia Woolf,US$ 950.00
Mockbeggar Hall,Robert Graves,US$ 395.00
The Gentleman from San Francisco and Other Stories,"Bunin, I. A. (Ivan A.)",US$ 125.00
Imperialism and Civilization,Leonard Woolf,US$ 50.83
The Case Is Altered,"PLOMER, WILLIAM",US$ 150.00
Folios of New Writing - Autumn 1941,[Laurie Lee] Various,US$ 49.13
"Folios of New Writing, Spring 1940",Various,US$ 45.25
The State of Religious Beliefs,R B Braithwaite,US$ 25.86
Folios of New Writing - Autumn 1940,[Laurie Lee] Various,US$ 323.25
Rimeless Numbers.,"TREVELYAN, R[obert] C[alverley].",US$ 786.50
Collected Poems 1929 - 1933,C Day Lewis,US$ 6.40
LAND-VALUE RATING Theory And Practice,"DOUGLAS, F. C. R., Francis Campbell Ross Douglas, Baron Douglas of Barloch",US$ 95.00
"Pharos and Pharillon (1st edition - handprinted by Leonard and Virginia Woolf !),","Forster, E. M.:",US$ 158.56
"The Backward Son, a novel","Spender, Stephen",US$ 54.31
The Backward Son,Stephen Spender,US$ 150.00
MONDAY OR TUESDAY,"Woolf, Virginia; Bell, Vanessa [woodcuts]","US$ 2,000.00"
The Future of an Illustion (International Psycho-analytical Library No. 15),"Freud, Sigmund; Jones, Ernest [Series Editor]",US$ 60.00
Poems.,"TILLER, Terence.",US$ 25.86
A Letter to Madan Blanchard.,"FORSTER, E.M.",US$ 58.18
Anonymity - An Enquiry.,"FORSTER, E.M.",US$ 161.62
A Letter to a Young Poet,"Woolf, Virginia",US$ 36.00
King's Daughter,"Sackville-West, V.",US$ 50.00
Art and Commerce (The Hogarth Essays),"Fry, Rogerr",US$ 65.00
A Letter to Virginia Woolf,"Quennell, Peter",US$ 40.00
The Revival of Æsthetics (The Hogarth Essays),"Waley, Hubert",US$ 170.00
A Letter to Virginia Woolf,"Quennell, Peter",US$ 30.00
THE DIARY OF MONTAIGNE'S JOURNEY TO ITALY IN 1580 AND 1581.,TRECHMANN E. J. (Translated With Introduction And,US$ 64.65
Art and Commerce. The Hogarth Essays.,"FRY, ROGER.",US$ 84.04
It was Not Jones ( Hogarth Living Poets No.2),"FITZURSE, R.",US$ 25.86
"Civilization, War and Death (Selections from Three Works)",Sigmund Freud (Edited by John Rickman),US$ 35.00
Studies in Shakespeare,"Nicoll, A.",US$ 7.61
Songs of Salvations Sin & Satire.,"PALMER, Herbert E.",US$ 355.57
The Mark on the Wall.,"WOOLF, Virginia.",US$ 907.50
The Story of the Siren.,"FORSTER, E. M.",US$ 581.85
Poetry In France and England (Hogarth Lectures No 15),Jean Stewart,US$ 4.59
A Room of One's Own,"Woolf, Virginia","US$ 9,500.00"
Country Notes in Wartime,"Sackville-West, V.",US$ 100.00
The Psycho-Analytic Study of the Family,J. C. Flugel,US$ 13.09
An Autobiographical Study,"Freud, Sigmund: Edited by Ernest Jones, Authorized Translation by James Strachey",US$ 17.64
Goodbye to Berlin,"Isherwood, Christopher",US$ 64.65
A HISTORY OF SOCIALISM,"Graves, Sally",US$ 6.46
Three Guineas,"Woolf, Virginia 1882-1941",US$ 500.00
Lions and Shadows: An Education in the Twenties,"Isherwood, C.",US$ 7.27
Pharos and Pharillon.,"FORSTER, E. M.",US$ 484.87
Three Guineas,"Woolf, Virginia",US$ 465.00
Some Early Impressions,"Stphen, L.",US$ 7.77
Lyrical Poetry from Blake to Hardy,"Grierson, H.J.C.",US$ 7.53
The Development of English Biography,"Nicolson, H.",US$ 7.28
The Voyage Out,"Woolf, Virginia",US$ 58.18
On Being Ill.,"Woolf, Virginia","US$ 7,500.00"
The Political and Social Doctrine of Communism,"Dutt, R. Palme",US$ 23.89
The Gentleman from San Francisco and Other Stories,"Bunin, Ivan; D.H. Lawrence [Translator]; S. S. Koteliansky [Translator]; Leonard Woolf [Translator]",US$ 350.00
On Marxism to-day,Maurice Dobb,US$ 39.85
A History of Socialism,Sally Graves,US$ 39.85
Anonymity,"Forster, E.M.",US$ 53.62
LIONS AND SHADOWS An Education in the Twenties,"ISHERWOOD, Christopher",US$ 426.69
Sally Bowles (signed first edition in rare dust jacket),Christopher Isherwood,"US$ 14,000.00"
The End of Laissez-Faire,"KEYNES, John Maynard",US$ 104.73
The complete poems of C. Day Lewis,"Day Lewis, C. (Cecil) (1904-1972)",US$ 34.00
The Waves.,"WOOLF, Virginia.",US$ 840.44
The German Army,"Rosinski, Herbert",US$ 872.77
On Marxism to-day,Maurice Dobb,US$ 39.85
The complete poems of C. Day Lewis,"Day Lewis, C. (Cecil) (1904-1972)",US$ 27.72
Goodbye to Berlin,Christopher Isherwood,US$ 193.95
Aftermath,"TREVELYAN, R. C.",US$ 31.54
FLUSH : A Biography,VIRGINIA WOOLF,US$ 165.00
After the Deluge: A Stody of Communal Psychology (Volume 2),"Woolf, L",US$ 16.29
Books and the People,"[The Hogarth Press]. COLE, Margaret",US$ 50.83
Turbott Wolfe,"Plomer, William",US$ 160.00
Rochester: A Conversation between Sir George Etherege and Mr Fitzjames,"Dobree, B.",US$ 5.87
Between The Acts : First printing : No jacket,"Woolf, Virginia",US$ 34.85
Poems,Kenneth Allott,US$ 41.89
Collected Poems 1929-1933,"Lewis, C Day",US$ 4.53
To the Lighthouse,Virginia Woolf,"US$ 7,757.95"
Anonymity: An Enquiry,FORSTER E(dward) M(organ),US$ 49.13
A Letter to Madan Blanchard,FORSTER E(dward) M(organ),US$ 20.69
THREE GUINEAS,"Woolf, Virginia",US$ 96.97
Flush a Biography,Virginia Woolf,US$ 711.15
New Country : Prose and Poetry by the authors of New Signatures,edited by Michael Roberts,US$ 23.72
TWELVE DAYS; an Account of a Journey across the Bakhtiari Mountains in South-Western Persia.,SACKVILLE-WEST V.,US$ 155.16
Monday or Tuesday,"Woolf, Virginia; Bell, Vanessa [Woodcuts]","US$ 2,000.00"
"Flush, a Biography",Virginia Woolf,US$ 32.00
"Our Freedom and its Results, by Five Women.","Eleanor F. Rathbone, Erna Reiss, Ray Strachey, Alison Neilans, Mary Agnes Hamilton.",US$ 290.92
The co-operative movement: To-day and to-morrow (Day to day pamphlets),"Millard, Allen Douglas",US$ 39.85
Goodbye to Berlin,Christopher Isherwood,"US$ 1,260.67"
Allegra,Iris Origo,US$ 90.51
THE YEARS,"Woolf, Virginia",US$ 51.75
Pepita,"SACKVILLE-WEST, V. [VITA]",US$ 15.77
ALL PASSION SPENT,"SACKVILLE-WEST, Vita",US$ 650.00
England's Pleasant Land. A Pageant Play.,"Forster, E.M.",US$ 150.00
The French Pictures. A Letter to Harriet,"MORTIMER, Raymond",US$ 27.11
Poets of Tomorrow - First Selection,Peter Hewett; H B Mallalieu; Ruthin Todd; Robert Walker,US$ 19.39
"The Story of the Siren,","Forster, E. M.:",US$ 266.11
Pharos and Pharillon.,Forster (E.M.),US$ 193.95
A Letter to a Young Poet; The Hogarth Letters No. 8,"WOOLF, VIRGINIA",US$ 70.00
Living Painters,Duncan Grant,US$ 355.57
Mock Beggar Hall: [poems and dramas]. With a cover design by William Nicholson,Robert GRAVES,US$ 323.25
The Dark Island,"Sackville-West, V.",US$ 77.58
DREAM ANALYSIS: A PRACTICAL HANDBOOK FOR PSYCHO-ANALYSTS.,"SHARPE, Ella Freeman.",US$ 51.72
Henry James at Work,"BOSANQUET, Theodora",US$ 96.97
LAND AND FREEDOM. (SIGNED),"VERINDER, Frederick.",US$ 77.58
The Economic Consequences of Mr. Churchill,"Keynes, John Maynard",US$ 221.76
Solitude - A Poem,"Sackville-West, V. [Vita]",US$ 60.00
The Economic Consequences of Mr. Churchill,"KEYNES, JOHN MAYNARD",US$ 379.14
The Common Reader: Second Series,"WOOLF, VIRGINIA",US$ 113.74
Reviewing. With a Note By Leonard Woolf. Hogarth Sixpenny Pamphlets. Number Four,"WOOLF, VIRGINIA",US$ 113.74
Monday or Tuesday,"WOOLF, VIRGINIA","US$ 3,033.15"
